"codigo";"rubro";"producto";"se_pide_por";"precio"
"0-0";"Tisanas en gotas";"Antiinflamatorio";"Frasco de 100 cc";"2850,00"
"0-1";"Tisanas en gotas";"Antiséptico urinario";"Frasco de 100 cc";"2850,00"
"0-2";"Tisanas en gotas";"Antiséptico vías respiratorias";"Frasco de 100 cc";""
"0-3";"Tisanas en gotas";"Colagogo";"Frasco de 100 cc";""
"0-4";"Tisanas en gotas";"Depurativo";"Frasco de 100 cc";"2850,00"
"0-5";"Tisanas en gotas";"Diabetes";"Frasco de 100 cc";"2850,00"
"0-6";"Tisanas en gotas";"Digestivo";"Frasco de 100 cc";"2850,00"
"0-7";"Tisanas en gotas";"Diurético";"Frasco de 100 cc";"2850,00"
"0-8";"Tisanas en gotas";"Energizante natural";"Frasco de 100 cc";""
"0-9";"Tisanas en gotas";"Laxante";"Frasco de 100 cc";"2850,00"
"0-10";"Tisanas en gotas";"Piper hepat";"Frasco de 100 cc";""
"0-11";"Tisanas en gotas";"Reductora";"Frasco de 100 cc";""
"0-12";"Tisanas en gotas";"Sedante";"Frasco de 100 cc";"2850,00"
"0-13";"Tisanas en gotas";"Vigorizante sexual natural";"Frasco de 100 cc";""
"1-0";"Tisanas en hebras";"Antigripal";"Bolsita de 70 gr";"3079,99"
"1-1";"Tisanas en hebras";"Antiinflamatorio";"Bolsita de 70 gr";"3079,99"
"1-2";"Tisanas en hebras";"Antiparasitario";"Bolsita de 70 gr";"3079,99"
"1-3";"Tisanas en hebras";"Antiséptico vías respiratorias";"Bolsita de 70 gr";"3079,99"
"1-4";"Tisanas en hebras";"Antiséptico urinario";"Bolsita de 70 gr";"4379,99"
"1-5";"Tisanas en hebras";"Arterial";"Bolsita de 70 gr";"3079,99"
"1-6";"Tisanas en hebras";"Colagogo";"Bolsita de 70 gr";"3079,99"
"1-7";"Tisanas en hebras";"Depurativo";"Bolsita de 70 gr";"3079,99"
"1-8";"Tisanas en hebras";"Diabetes";"Bolsita de 70 gr";"3079,99"
"1-9";"Tisanas en hebras";"Digestivo";"Bolsita de 70 gr";"3079,99"
"1-10";"Tisanas en hebras";"Diurético";"Bolsita de 70 gr";"3079,99"
"1-11";"Tisanas en hebras";"Energizante natural";"Bolsita de 70 gr";"4379,99"
"1-12";"Tisanas en hebras";"Laxante";"Bolsita de 70 gr";"3079,99"
"1-13";"Tisanas en hebras";"Ovárica";"Bolsita de 70 gr";"3079,99"
"1-14";"Tisanas en hebras";"Próstata";"Bolsita de 70 gr";""
"1-15";"Tisanas en hebras";"Reductor de colesterol";"Bolsita de 70 gr";"3079,99"
"1-16";"Tisanas en hebras";"Reductora";"Bolsita de 70 gr";"3500,01"
"1-17";"Tisanas en hebras";"Sedante";"Bolsita de 70 gr";"3079,99"
"1-18";"Tisanas en hebras";"Várices";"Bolsita de 70 gr";"3079,99"
"1-19";"Tisanas en hebras";"Vigorizante sexual natural";"Bolsita de 70 gr";"4379,99"
"2-0";"Tisanas en saquitos";"Reductora";"Estuche de 25 saquitos x 1,5 gr";"3150,01"
"2-1";"Tisanas en saquitos";"Sedante";"Estuche de 25 saquitos x 1,5 gr";"2850,00"
"2-2";"Tisanas en saquitos";"Digestivo";"Estuche de 25 saquitos x 1,5 gr";"2380,00"
"2-3";"Tisanas en saquitos";"Colagogo";"Estuche de 25 saquitos x 1,5 gr";"2650,00"
"2-4";"Tisanas en saquitos";"Laxante";"Estuche de 25 saquitos x 1,5 gr";"2380,00"
"2-5";"Tisanas en saquitos";"Diurético";"Estuche de 25 saquitos x 1,5 gr";"2380,00"
"2-6";"Tisanas en saquitos";"Diabetes";"Estuche de 25 saquitos x 1,5 gr";"2640,00"
"3-0";"Monohierbas en gotas";"Árnica";"Frasco de 100 cc";"2850,00"
"3-1";"Monohierbas en gotas";"Café verde";"Frasco de 100 cc";"2850,00"
"3-2";"Monohierbas en gotas";"Cardo mariano";"Frasco de 100 cc";"3860,00"
"3-3";"Monohierbas en gotas";"Carqueja";"Frasco de 100 cc";"2010,00"
"3-4";"Monohierbas en gotas";"Castaña de India";"Frasco de 100 cc";"2850,00"
"3-5";"Monohierbas en gotas";"Centella asiática";"Frasco de 100 cc";"3130,00"
"3-6";"Monohierbas en gotas";"Cola de caballo";"Frasco de 100 cc";"2240,00"
"3-7";"Monohierbas en gotas";"Diente de león";"Frasco de 100 cc";"2850,00"
"3-8";"Monohierbas en gotas";"Equinácea";"Frasco de 100 cc";"4350,00"
"3-9";"Monohierbas en gotas";"Ginkgo biloba";"Frasco de 100 cc";"2850,00"
"3-10";"Monohierbas en gotas";"Hamamelis";"Frasco de 100 cc";"3860,00"
"3-11";"Monohierbas en gotas";"Hipérico";"Frasco de 100 cc";"2010,00"
"3-12";"Monohierbas en gotas";"Pasionaria";"Frasco de 100 cc";"2010,00"
"3-13";"Monohierbas en gotas";"Rompiedra";"Frasco de 100 cc";"2850,00"
"3-14";"Monohierbas en gotas";"Saw palmeto";"Frasco de 100 cc";""
"3-15";"Monohierbas en gotas";"Sombra de toro";"Frasco de 100 cc";"2450,00"
"3-16";"Monohierbas en gotas";"Spirulina";"Frasco de 100 cc";"2850,00"
"3-17";"Monohierbas en gotas";"Uña de gato";"Frasco de 100 cc";"2850,00"
"3-18";"Monohierbas en gotas";"Uva ursi";"Frasco de 100 cc";"2850,00"
"3-19";"Monohierbas en gotas";"Valeriana";"Frasco de 100 cc";"2850,00"
"4-0";"Monohierbas en hebras";"Alcachofa";"Bolsita fraccionada";"1640,00"
"4-1";"Monohierbas en hebras";"Alfirelillo";"Bolsita fraccionada";""
"4-2";"Monohierbas en hebras";"Ambay";"Bolsita fraccionada";"1640,00"
"4-3";"Monohierbas en hebras";"Anís estrellado";"Bolsita fraccionada";"1640,00"
"4-4";"Monohierbas en hebras";"Anís verde";"Bolsita fraccionada";""
"4-5";"Monohierbas en hebras";"Boldo";"Bolsita fraccionada";"1820,00"
"4-6";"Monohierbas en hebras";"Borraja";"Bolsita fraccionada";"1640,00"
"4-7";"Monohierbas en hebras";"Café verde";"Bolsita fraccionada";"2310,00"
"4-8";"Monohierbas en hebras";"Cardo mariano";"Bolsita fraccionada";"4480,00"
"4-9";"Monohierbas en hebras";"Canchalagua";"Bolsita fraccionada";""
"4-10";"Monohierbas en hebras";"Carqueja";"Bolsita fraccionada";"1640,00"
"4-11";"Monohierbas en hebras";"Cáscara sagrada";"Bolsita fraccionada";"3850,00"
"4-12";"Monohierbas en hebras";"Castaño de Indias";"Bolsita fraccionada";"2310,00"
"4-13";"Monohierbas en hebras";"Cedrón";"Bolsita fraccionada";"2310,00"
"4-14";"Monohierbas en hebras";"Centella asiática";"Bolsita fraccionada";"2310,00"
"4-15";"Monohierbas en hebras";"Chañar corteza";"Bolsita fraccionada";"1640,00"
"4-16";"Monohierbas en hebras";"Chía";"Bolsita fraccionada";"1640,00"
"4-17";"Monohierbas en hebras";"Cola de caballo";"Bolsita fraccionada";"1640,00"
"4-18";"Monohierbas en hebras";"Cola de quirquincho";"Bolsita fraccionada";"1640,00"
"4-19";"Monohierbas en hebras";"Congorosa";"Bolsita fraccionada";"1640,00"
"4-20";"Monohierbas en hebras";"Contrayerba";"Bolsita fraccionada";"2310,00"
"4-21";"Monohierbas en hebras";"Cuasia amarga";"Bolsita fraccionada";"1640,00"
"4-22";"Monohierbas en hebras";"Doradilla";"Bolsita fraccionada";""
"4-23";"Monohierbas en hebras";"Eneldo";"Bolsita fraccionada";"1640,00"
"4-24";"Monohierbas en hebras";"Espina colorada";"Bolsita fraccionada";""
"4-25";"Monohierbas en hebras";"Estigma de maíz";"Bolsita fraccionada";""
"4-26";"Monohierbas en hebras";"Eucaliptus";"Bolsita fraccionada";"1640,00"
"4-27";"Monohierbas en hebras";"Fucus";"Bolsita fraccionada";"2519,99"
"4-28";"Monohierbas en hebras";"Ginkgo biloba";"Bolsita fraccionada";"1640,00"
"4-29";"Monohierbas en hebras";"Hinojo";"Bolsita fraccionada";"2310,00"
"4-30";"Monohierbas en hebras";"Hipérico";"Bolsita fraccionada";"3390,00"
"4-31";"Monohierbas en hebras";"Hisopo";"Bolsita fraccionada";"2310,00"
"4-32";"Monohierbas en hebras";"Incayuyo";"Bolsita fraccionada";"2310,00"
"4-33";"Monohierbas en hebras";"Incienso";"Bolsita fraccionada";"1640,00"
"4-34";"Monohierbas en hebras";"Jarilla";"Bolsita fraccionada";"1640,00"
"4-35";"Monohierbas en hebras";"Lapacho";"Bolsita fraccionada";"1640,00"
"4-36";"Monohierbas en hebras";"Lino";"Bolsita fraccionada";"1640,00"
"4-37";"Monohierbas en hebras";"Llantén";"Bolsita fraccionada";"2310,00"
"4-38";"Monohierbas en hebras";"Malva";"Bolsita fraccionada";"1640,00"
"4-39";"Monohierbas en hebras";"Manzanilla";"Bolsita fraccionada";"2170,00"
"4-40";"Monohierbas en hebras";"Marrubio";"Bolsita fraccionada";"1640,00"
"4-41";"Monohierbas en hebras";"Melisa";"Bolsita fraccionada";"1640,00"
"4-42";"Monohierbas en hebras";"Menta";"Bolsita fraccionada";"1640,00"
"4-43";"Monohierbas en hebras";"Mirra";"Bolsita fraccionada";"1640,00"
"4-44";"Monohierbas en hebras";"Ortiga";"Bolsita fraccionada";"1640,00"
"4-45";"Monohierbas en hebras";"Palo azul";"Bolsita fraccionada";"1640,00"
"4-46";"Monohierbas en hebras";"Palo pichi";"Bolsita fraccionada";"1640,00"
"4-47";"Monohierbas en hebras";"Pasionaria";"Bolsita fraccionada";"2310,00"
"4-48";"Monohierbas en hebras";"Peperina";"Bolsita fraccionada";"2350,00"
"4-49";"Monohierbas en hebras";"Pezuña de vaca";"Bolsita fraccionada";"1640,00"
"4-50";"Monohierbas en hebras";"Poleo";"Bolsita fraccionada";"2310,00"
"4-51";"Monohierbas en hebras";"Romero";"Bolsita fraccionada";"2350,00"
"4-52";"Monohierbas en hebras";"Rompepiedra";"Bolsita fraccionada";"1640,00"
"4-53";"Monohierbas en hebras";"Ruda";"Bolsita fraccionada";"1820,00"
"4-54";"Monohierbas en hebras";"Salvia blanca";"Bolsita fraccionada";"1640,00"
"4-55";"Monohierbas en hebras";"Sarandí";"Bolsita fraccionada";"1640,00"
"4-56";"Monohierbas en hebras";"Sen hojas";"Bolsita fraccionada";"1640,00"
"4-57";"Monohierbas en hebras";"Sombra de toro";"Bolsita fraccionada";""
"4-58";"Monohierbas en hebras";"Stevia";"Bolsita fraccionada";"2310,01"
"4-59";"Monohierbas en hebras";"Té verde";"Bolsita fraccionada";"1640,00"
"4-60";"Monohierbas en hebras";"Té rojo";"Bolsita fraccionada";"1640,00"
"4-61";"Monohierbas en hebras";"Té de burro";"Bolsita fraccionada";"1640,00"
"4-62";"Monohierbas en hebras";"Tilo";"Bolsita fraccionada";""
"4-63";"Monohierbas en hebras";"Uña de gato";"Bolsita fraccionada";""
